UNITNAME,ARCHIVE_PATH,ID
b'DES1157-0624',b'DEC/multiepoch/delve/r5918/DES1157-0624/p01',21658733
b'DES0714+1626',b'DEC/multiepoch/delve/r5918/DES0714+1626/p01',21648786
b'DES0717+1834',b'DEC/multiepoch/delve/r5918/DES0717+1834/p01',21648815
b'DES0720+1000',b'DEC/multiepoch/delve/r5918/DES0720+1000/p01',21648834
b'DES0734+0835',b'DEC/multiepoch/delve/r5918/DES0734+0835/p01',21649904
b'DES0826+2126',b'DEC/multiepoch/delve/r5918/DES0826+2126/p01',21653061
b'DES0826+2751',b'DEC/multiepoch/delve/r5918/DES0826+2751/p01',21653064
b'DES0834+0209',b'DEC/multiepoch/delve/r5918/DES0834+0209/p01',21653240
b'DES0839+0001',b'DEC/multiepoch/delve/r5918/DES0839+0001/p01',21653364
b'DES0841+0418',b'DEC/multiepoch/delve/r5918/DES0841+0418/p01',21653420
b'DES0852-0541',b'DEC/multiepoch/delve/r5918/DES0852-0541/p02',21654016
b'DES0900+2917',b'DEC/multiepoch/delve/r5918/DES0900+2917/p02',21654215
b'DES0909-0541',b'DEC/multiepoch/delve/r5918/DES0909-0541/p01',21654450
b'DES0910-0750',b'DEC/multiepoch/delve/r5918/DES0910-0750/p01',21654480
b'DES0911+1751',b'DEC/multiepoch/delve/r5918/DES0911+1751/p01',21654496
b'DES0911-0458',b'DEC/multiepoch/delve/r5918/DES0911-0458/p01',21654504
b'DES0911-2041',b'DEC/multiepoch/delve/r5918/DES0911-2041/p01',21654508
b'DES0913+1709',b'DEC/multiepoch/delve/r5918/DES0913+1709/p01',21654548
b'DES0913-1749',b'DEC/multiepoch/delve/r5918/DES0913-1749/p01',21654561
b'DES0915+2251',b'DEC/multiepoch/delve/r5918/DES0915+2251/p01',21654599
b'DES0915-1624',b'DEC/multiepoch/delve/r5918/DES0915-1624/p01',21654610
b'DES0916+1209',b'DEC/multiepoch/delve/r5918/DES0916+1209/p01',21654622
b'DES0916-2206',b'DEC/multiepoch/delve/r5918/DES0916-2206/p01',21654641
